anon_polygon_id,date,crop_type,v3_prediction,v4_prediction,global_correction_raw,global_blend_weight,v5_prediction
AOI-0001,2010-08-29,озимая пшеница,0.22888358031181222,0.21914126014599264,-0.0260509338967494,0.35,0.21002343328213036
AOI-0001,2010-10-25,озимая пшеница,0.17537272983272847,0.1862993179072024,0.006489296584416635,0.35,0.1885705717117482
AOI-0001,2011-06-13,озимая пшеница,0.6524476462964999,0.6452266706991748,0.00197419289688278,0.35,0.6459176382130838
AOI-0001,2011-09-18,озимая пшеница,0.2618051168058817,0.2606173164029532,0.009256634699400863,0.35,0.2638571385477435
AOI-0001,2011-09-26,озимая пшеница,0.27230225017435805,0.27469744601282137,-0.015402797458754093,0.35,0.26930646690225746
AOI-0001,2011-09-30,озимая пшеница,0.39701257501048226,0.4088525678314355,-0.011990780590547551,0.35,0.4046557946247438
AOI-0001,2012-05-24,озимая пшеница,0.706366008268293,0.6922431411928365,-0.011588284278208193,0.35,0.6881872416954636
AOI-0001,2012-07-09,озимая пшеница,0.2355999737855769,0.2346250741794417,0.014830188896486175,0.35,0.23981564029321187
AOI-0001,2012-07-11,озимая пшеница,0.3365640353405201,0.3360532719420632,-0.008516743135926201,0.35,0.33307241184448905
AOI-0001,2012-08-10,озимая пшеница,0.17777938804221255,0.1615542098417001,0.0017187185077313133,0.35,0.16215576131940607
AOI-0001,2012-08-12,озимая пшеница,0.3146583236759368,0.30489361970171275,-0.021036606793481735,0.35,0.2975308073239941
AOI-0001,2012-10-15,озимая пшеница,0.3624094160478584,0.3739609687396834,-0.033511428673470144,0.35,0.36223196870396884
AOI-0001,2013-05-01,озимая пшеница,0.8314784502386705,0.8260166760338455,0.010743467486993456,0.35,0.8297768896542933
AOI-0001,2013-07-12,озимая пшеница,0.3442180355713681,0.34321424634386444,-0.016432158591567454,0.35,0.33746299083681586
AOI-0001,2013-09-30,озимая пшеница,0.567282216252067,0.5667045782104175,-0.004546575040356035,0.35,0.5651132769462929
AOI-0001,2014-04-18,озимая пшеница,0.23101148767984098,0.2482555870140705,0.02364881863109728,0.35,0.25653267353495457
AOI-0001,2014-05-25,озимая пшеница,0.6799183441813941,0.6774311469570579,-0.011293810810986665,0.35,0.6734783131732125
AOI-0001,2014-06-26,озимая пшеница,0.80351148610209,0.806011675721193,-0.007729356436986589,0.35,0.8033064009682477
AOI-0001,2014-07-15,озимая пшеница,0.7384803414179567,0.7320486368155251,-0.0037532509772068806,0.35,0.7307349989735027
